=== Tableau des performances (temps moyen en secondes) ===
N proc  seq            line           column         line_column    
2       0.047207       0.045785       0.047016       0.047087       
3       0.048623       0.046584       0.047325       0.046632       
4       0.048705       0.047536       0.048049       0.047806       
5       0.047598       0.046209       0.047053       0.047007       
6       0.049386       0.048443       0.046966       0.046154       
7       0.047785       0.048839       0.047750       0.048445       
8       0.048719       0.047195       0.047151       0.048189       
9       0.046261       0.046924       0.041728       0.045270       
10      0.047263       0.045677       0.045535       0.046746       
11      0.045716       0.046989       0.045882       0.043609       
12      0.045045       0.045839       0.046279       0.045286       
